ts,ticker,series,category,side,entry_price_c,settle_rate,pnl,result,mode
2026-08-05T16:30:04+00:00,KXMVESPORTSMULTIGAMEEXTENDED-S20261802E42725A-72D65EA0DF2,KXMVESPORTSMULTIGAMEEXTENDED,Exotics,no,60.6,0.811,,,paper
2026-08-05T16:30:04+00:00,KXMVECROSSCATEGORY-S20262663B1F0AC9-A7B2ECDE887,KXMVECROSSCATEGORY,Exotics,no,41.1,0.5925,,,paper
2026-08-05T16:30:04+00:00,KXMVESPORTSMULTIGAMEEXTENDED-S20262FE29E65DA0-B0AE3BD06AF,KXMVESPORTSMULTIGAMEEXTENDED,Exotics,no,52.2,0.709,,,paper
2026-08-05T16:30:04+00:00,KXMLBHRR-26AUG051435SFTEX-SFGMCCRAY58-3,KXMLBHRR,Sports,no,78.0,0.8824,,,paper
2026-08-05T16:30:04+00:00,KXMLBHRR-26AUG051435SFTEX-SFGMCCRAY58-4,KXMLBHRR,Sports,no,87.0,0.9241,,,paper
2026-08-05T16:30:04+00:00,KXMVESPORTSMULTIGAMEEXTENDED-S2026A4A3F45F654-755B09570E8,KXMVESPORTSMULTIGAMEEXTENDED,Exotics,no,61.6,0.811,,,paper
2026-08-05T16:30:04+00:00,KXMVECROSSCATEGORY-S202682D1A0F2626-0996932016A,KXMVECROSSCATEGORY,Exotics,no,63.9,0.811,,,paper
2026-08-06T16:30:00+00:00,KXMVESPORTSMULTIGAMEEXTENDED-S2026B820FBAC66C-26EDBC0F1E7,KXMVESPORTSMULTIGAMEEXTENDED,Exotics,no,61.4,0.811,,,paper
2026-08-06T16:30:00+00:00,KXMVESPORTSMULTIGAMEEXTENDED-S2026150AB922F14-5E41CD0EE6B,KXMVESPORTSMULTIGAMEEXTENDED,Exotics,no,50.4,0.709,,,paper
2026-08-06T16:30:00+00:00,KXMVESPORTSMULTIGAMEEXTENDED-S2026FD2DEF8B575-C0B644DC43D,KXMVESPORTSMULTIGAMEEXTENDED,Exotics,no,52.0,0.709,,,paper
2026-08-05T16:30:04+00:00,KXMVECROSSCATEGORY-S2026943060934CD-1EF1947828E,KXMVECROSSCATEGORY,Exotics,no,61.7,0.811,,,paper
2026-08-06T16:30:00+00:00,KXMVESPORTSMULTIGAMEEXTENDED-S2026B7B878FC7B2-81DD3D75D30,KXMVESPORTSMULTIGAMEEXTENDED,Exotics,no,61.7,0.811,,,paper
